Sample,X,Y,Z
482,1.0007,0.0437,0.0144
483,1.0757,0.0444,-0.0154
484,1.0151,0.1101,-0.0403
485,1.0798,-0.0105,0.1519
486,0.9548,0.0039,0.0786
487,1.0210,-0.1047,-0.0381
488,1.0061,0.0427,-0.0635
489,1.0220,-0.0581,0.0022
490,1.0825,-0.0278,-0.0437
491,1.0854,0.1174,-0.0371
492,1.0483,-0.0220,0.0654
493,1.0496,0.0210,0.1069
494,1.0161,-0.0474,-0.0286
495,0.9897,-0.0479,0.0078
496,1.0486,0.0952,0.0371
497,1.0112,-0.0244,0.0151
498,1.0212,0.0959,-0.1033
499,1.0339,-0.0129,0.0889
500,1.0044,0.0156,-0.0022
501,0.9900,-0.1123,0.0059
502,1.0415,-0.0051,0.0630
503,0.9539,0.0242,-0.0930
504,1.0786,-0.0522,0.0356
505,1.0466,-0.0571,0.0637
506,0.9177,0.0942,-0.0828
507,1.0027,-0.0500,0.0891
508,1.0249,0.0681,0.0024
509,0.9355,-0.1206,-0.0002
510,1.0447,0.0122,0.0339
511,1.0876,0.0347,0.0178
512,0.9878,0.0332,0.0127
513,0.9958,0.0364,-0.0042
514,1.0476,-0.0120,-0.0337
515,1.0103,-0.0466,0.0405
516,1.0288,-0.0144,0.0930
517,1.0063,-0.0205,-0.0459
518,1.0632,-0.0930,-0.0117
519,0.9780,0.0813,-0.0022
520,1.0259,-0.0984,-0.0337
521,1.0386,0.0515,-0.0356
522,1.0750,0.0510,0.1174
523,0.9595,-0.0681,0.0552
524,1.0955,0.0430,-0.0090
525,0.9546,-0.0225,-0.0454
526,1.0271,-0.0598,0.0747
527,1.0593,0.1250,-0.0090
528,1.0164,-0.0483,-0.0615
529,1.0051,-0.0222,0.1121
530,1.0789,0.0522,-0.0410
531,0.9312,-0.1648,-0.0603
532,1.1755,-0.0515,0.0989
533,1.0759,0.0911,-0.0542
534,1.0134,0.0532,-0.0959
535,1.1108,0.0186,0.1006
536,0.9880,-0.0530,-0.0254
537,0.9790,-0.0259,-0.1074
538,1.0808,0.0027,0.0208
539,1.0427,0.0308,0.0771
540,0.9646,0.0542,-0.0081
541,0.9861,-0.0193,-0.1267
542,0.9946,-0.0693,0.0503
543,0.9978,-0.1477,-0.0076
544,1.0476,-0.0574,-0.1143
545,1.0779,0.1523,0.0920
546,0.9478,-0.0344,-0.0540
547,1.0408,-0.1616,-0.1233
548,1.1541,0.0620,0.0754
549,1.0112,0.0706,-0.0203
550,1.0942,0.0181,0.0010
551,1.0229,0.2097,0.1262
552,0.8611,-0.1775,-0.1326
553,0.9702,-0.0449,-0.0078
554,1.0974,-0.0020,0.0496
555,0.8774,-0.1414,-0.0881
556,1.1060,0.1375,-0.0647
557,1.0554,-0.0547,0.1133
558,0.9946,-0.0906,-0.0352
559,1.0493,0.0220,0.0415
560,1.0291,-0.0583,-0.0200
561,0.9878,0.0005,0.0247
562,1.0750,0.0823,0.0242
563,0.9380,-0.0142,-0.0500
564,1.1003,0.0332,0.0459
565,0.9351,0.0505,0.0415
566,1.0378,-0.0442,-0.0459
567,1.0886,-0.0193,0.0935
568,1.0178,0.0513,-0.0730
569,0.9568,0.0408,0.0830
570,1.1108,-0.0767,0.0046
571,0.8757,0.0151,-0.1199
572,1.0815,-0.1313,0.0815
573,1.0298,-0.0496,0.0095
574,1.0747,-0.0083,-0.0598
575,1.0220,0.0459,0.0608
576,1.0779,0.0054,0.0027
577,0.9331,0.0779,-0.0403
578,1.0203,-0.1516,0.0977
579,0.9419,0.0645,0.0176
580,1.0083,-0.0391,-0.0703
581,0.9653,-0.0601,0.0488
582,1.0818,0.0952,0.0259
583,0.9126,-0.1069,-0.0725
584,1.0476,-0.0344,-0.0154
585,1.0427,0.0439,0.1421
586,0.8909,-0.1340,-0.1052
587,1.0554,-0.0005,0.0007
588,1.0447,0.0176,-0.0042
589,0.9197,-0.0623,0.0059
590,1.0972,0.0610,0.0815
591,0.9666,0.0049,-0.0742
592,1.0083,-0.0786,0.0125
593,1.0798,0.1948,0.1230
594,0.9851,-0.0815,-0.0581
595,1.0347,-0.0479,0.0654
596,1.0701,0.0615,0.0337
597,0.9331,-0.0925,-0.0271
598,1.1013,0.0598,-0.0342
599,0.9517,-0.0110,0.0823
600,0.9773,-0.1340,0.0085
601,1.0366,0.0151,-0.0166
602,1.0408,-0.0137,0.0388
603,0.9497,-0.0430,-0.0129
604,1.0935,0.0771,-0.0110
605,1.0142,-0.0320,0.0732
606,0.9937,0.0261,0.0371
607,1.0408,-0.0593,-0.0688
608,1.0698,-0.0513,0.1372
609,0.9780,0.1174,-0.0237
610,0.9207,-0.1621,-0.1216
611,1.1030,-0.0596,0.0413
612,0.9636,0.0479,-0.1011
613,1.0063,-0.1919,-0.0254
614,1.1765,0.1624,0.0989
615,0.9402,-0.0593,-0.0210
616,1.0046,-0.0691,-0.1396
617,1.1323,0.1707,0.0815
618,0.9282,-0.0815,0.0537
619,1.0288,0.0098,0.0081
620,1.0669,0.1033,0.0198
621,0.9771,-0.1155,-0.0054
622,1.0171,0.1501,-0.0464
623,1.0151,0.0034,0.0366
624,0.9187,-0.1565,0.0439
625,1.0310,0.0532,-0.0217
626,1.0024,-0.1375,0.0259
627,1.0627,-0.0125,-0.0332
628,1.0906,0.1633,-0.0493
629,1.0044,-0.1289,0.1038
630,1.0857,0.1184,0.0144
631,0.9861,-0.1038,-0.0273
632,1.0789,-0.0259,0.1091
633,1.0845,0.1567,-0.0183
634,1.0034,-0.0559,-0.0073
635,1.0769,0.0435,0.0630
636,1.0398,0.0283,0.0044
637,0.9849,-0.0632,-0.0459
638,1.0750,0.0786,0.0496
639,0.9978,-0.1360,0.0327
640,1.0144,-0.0610,-0.1145
641,1.0464,0.1130,0.0874
642,0.9851,-0.0969,-0.0146
643,0.9624,0.0002,-0.1211
644,1.0552,0.0464,0.0669
645,0.9705,-0.1257,0.0200
646,1.1130,0.1384,-0.0303
647,1.0303,0.0544,0.0815
648,0.9714,-0.0432,0.0706
649,1.0369,0.0698,-0.0066
650,0.9155,-0.0615,-0.0171
651,1.0447,-0.0901,-0.0005
652,1.0457,0.0479,-0.0474
653,0.9937,-0.0603,0.0203
654,1.0444,0.0225,0.0344
655,1.0291,-0.0347,-0.0251
656,0.9822,0.0171,0.0088
657,1.0347,-0.0012,0.0537
658,0.9927,0.0164,0.0303
659,0.9438,-0.0740,0.0293
660,1.0203,-0.0007,0.0193
661,0.9868,0.0303,0.0100
662,0.9919,-0.0354,0.0117
663,1.0405,-0.0398,0.0688
664,1.0376,-0.0200,-0.0139
665,1.0269,-0.0144,-0.0305
666,1.1362,0.0129,0.0933
667,1.0437,-0.0217,-0.0684
668,1.0203,0.0120,-0.1006
669,1.1277,0.0154,0.1536
670,0.9771,0.1018,-0.0835
671,0.9868,-0.0896,0.0266
672,1.1050,0.0940,0.0513
673,0.9253,-0.0540,-0.0686
674,0.9841,0.0662,0.0530
675,1.0251,0.0227,0.0876
676,0.9294,-0.0254,-0.0122
677,0.9861,-0.0408,0.0051
678,1.0652,-0.0488,0.0996
679,1.0427,-0.0540,-0.0029
680,1.0063,0.1240,-0.0449
681,1.0806,-0.0767,0.1116
682,0.9958,0.0161,-0.0049
683,1.0127,-0.0825,-0.0315
684,1.0259,-0.0215,0.0503
685,1.0740,0.0808,0.0059
686,0.9861,0.0513,-0.0166
687,1.0369,-0.0093,0.0134
688,1.0151,0.0334,0.0308
689,0.9722,-0.1062,-0.0078
690,1.0347,-0.0088,0.0249
691,1.0535,0.0557,0.0269
692,1.0164,-0.0696,-0.0195
693,1.0828,0.0061,0.0508
694,0.9722,0.0925,0.0537
695,0.9714,-0.1216,-0.0737
696,1.0388,-0.0608,0.0496
697,0.9937,0.0037,-0.0615
698,0.9636,-0.0500,-0.0437
699,1.1382,0.1624,0.0576
700,0.9509,0.0220,0.0215
701,0.9988,-0.1172,0.0293
702,1.1013,0.0552,0.0254
703,0.9443,-0.0720,-0.0137
704,1.0229,-0.0115,0.0139
705,1.0437,0.0771,-0.0029
706,0.9255,-0.0913,0.0002
707,1.0632,-0.0889,0.0840
708,0.9988,0.0530,-0.0681
709,0.9946,-0.0867,0.0254
710,1.1003,0.0122,0.0730
711,1.0359,0.0129,-0.0410
712,0.9917,-0.0356,0.0000
713,1.0925,0.0261,0.0603
714,0.9614,0.0710,-0.0869
715,1.0381,-0.0649,-0.0042
716,1.0339,0.1057,0.0935
717,1.0925,-0.0847,-0.0112
718,0.9731,0.0708,0.0034
719,1.1079,0.0391,0.0635
720,0.9197,-0.0510,0.0540
721,1.0601,-0.0159,-0.0750
722,0.9851,-0.0999,0.0283
723,1.0896,-0.1023,0.0027
724,1.0320,0.1733,-0.0391
725,1.0474,0.0669,-0.0234
726,0.9783,0.0178,0.0127
727,1.0525,-0.1084,0.0840
728,0.9814,-0.0786,0.0825
729,1.0200,0.0894,-0.1377
730,1.0281,0.0159,0.0669
731,1.0229,0.0249,0.0015
732,0.9565,-0.1189,-0.0303
733,1.0974,-0.0708,0.0632
734,1.0269,0.0474,-0.0312
735,0.9614,-0.0422,-0.0332
736,1.0769,-0.0027,0.0591
737,0.9585,-0.0085,-0.1023
738,0.9858,-0.0708,-0.0479
739,1.1138,0.1172,0.1309
740,0.9783,0.0127,-0.0278
741,1.0249,-0.0554,-0.0081
742,1.1013,0.1038,0.0339
743,0.9497,-0.0637,0.0046
744,1.0613,0.0261,-0.0120
745,1.0444,0.0813,0.0693
746,0.9272,-0.1448,0.0093
747,1.0085,-0.0225,-0.0767
748,1.0396,-0.0393,0.0537
749,0.9861,-0.0547,-0.0024
750,1.0806,0.0525,-0.0693
751,1.0652,0.0171,0.1238
752,0.9946,0.0310,-0.0500
753,1.0056,-0.0171,-0.0024
754,1.0945,0.0215,0.1494
755,0.9587,0.0229,-0.0195
756,0.9993,0.0518,-0.0757
757,0.9653,-0.0552,0.1177
