Sample,X,Y,Z
244,0.9565,-0.1235,0.0222
245,1.0466,-0.0925,0.0457
246,1.1694,0.2185,0.0386
247,0.9050,-0.1750,0.0771
248,1.0994,0.0562,0.0000
249,1.0564,0.0176,-0.0266
250,0.9683,-0.0500,0.0400
251,1.0435,0.1208,0.0156
252,0.9263,-0.1216,-0.1030
253,1.0300,-0.0508,0.0261
254,1.0073,0.1467,-0.0295
255,0.9312,-0.1414,-0.0308
256,1.0786,0.0491,0.0137
257,0.9441,-0.0491,-0.0049
258,1.0740,-0.0322,0.0466
259,1.1108,0.0476,0.1467
260,0.8630,-0.1047,-0.0825
261,1.1345,-0.0554,0.0190
262,1.0366,0.2195,-0.0659
263,0.8433,-0.1533,-0.0283
264,1.1970,-0.0498,0.0710
265,0.9861,0.1558,-0.0232
266,0.8865,-0.1233,-0.0034
267,1.1685,0.0486,0.0950
268,0.8972,0.0366,-0.1294
269,0.9226,-0.1863,-0.0317
270,1.2534,0.1658,0.0498
271,0.9382,-0.0757,-0.0698
272,1.0132,-0.0691,-0.0269
273,1.1157,0.0603,-0.0049
274,0.9851,-0.1223,0.0173
275,1.0815,0.0649,-0.0059
276,1.0151,0.0481,-0.1189
277,1.0513,-0.1538,0.1184
278,1.0054,0.1621,-0.0715
279,0.8755,-0.1406,-0.1389
280,1.1362,0.0171,0.1011
281,0.8806,0.1279,-0.0337
282,0.8608,-0.1504,-0.1458
283,1.2087,0.0774,0.0764
284,0.9146,-0.0332,0.0293
285,1.0652,-0.1287,-0.0503
286,1.2153,0.1785,0.1199
287,0.8386,-0.1440,0.0708
288,1.0815,-0.0413,-0.0251
289,1.1245,0.1536,-0.0576
290,0.8542,-0.1536,-0.0032
291,1.1206,0.1230,-0.1223
292,0.9744,0.0193,0.0718
293,0.8687,-0.0986,-0.0393
294,1.0906,0.0576,0.0515
295,0.9351,0.0198,0.0635
296,0.9851,-0.1602,0.0798
297,1.1423,0.0652,0.0569
298,1.0171,-0.0139,0.0417
299,1.0229,-0.0610,0.0979
300,1.0923,0.0916,-0.1011
