Sample,X,Y,Z
255,0.9392,-0.2209,0.0247
256,1.1909,0.1228,0.0623
257,0.9370,0.0178,0.0420
258,1.0054,-0.0903,-0.0090
259,1.1187,0.0994,0.0217
260,0.8748,-0.0452,-0.1008
261,1.0730,-0.1157,0.0312
262,1.1892,0.2405,0.0945
263,0.8442,-0.1653,-0.0071
264,1.0620,0.0210,0.0422
265,1.0388,0.0620,0.0608
266,0.8425,-0.1057,-0.0854
267,1.1841,0.1270,0.0605
268,1.0190,-0.0125,0.1108
269,0.8843,-0.0349,-0.0605
270,1.1089,-0.0503,0.1055
271,1.0378,0.0420,-0.0334
272,0.9951,-0.0547,-0.0862
273,1.0935,0.0894,0.0430
274,1.0144,-0.0984,-0.0044
275,1.0308,0.0083,-0.1467
276,1.1345,-0.0466,0.1858
277,1.0388,0.1113,-0.0972
278,0.9565,-0.2217,-0.0342
279,1.1069,0.0889,0.0774
280,0.9138,-0.0913,-0.0493
281,1.0757,0.0208,0.0100
282,1.1138,0.0574,0.0369
283,0.8601,-0.0859,-0.0889
284,1.0532,-0.0791,0.0210
285,1.0759,-0.0071,0.0618
286,0.9456,-0.0767,-0.1396
287,1.0688,0.1353,-0.0017
288,0.9734,-0.1543,0.0149
289,1.0134,0.0779,-0.1382
290,1.0505,-0.0366,0.1487
291,1.0300,0.0757,-0.0144
292,0.9312,-0.0757,-0.0642
293,1.0571,0.1121,-0.0073
294,0.9937,-0.1023,0.1157
295,1.0652,0.1235,-0.0757
296,0.9255,0.0098,0.0166
297,1.0542,-0.0691,0.0215
298,1.0193,0.0815,-0.0598
299,1.0476,-0.0212,0.0791
300,0.9243,0.0615,-0.0796
301,1.0164,-0.0425,-0.0610
302,1.0083,-0.1687,0.1975
303,1.1440,0.2244,-0.0530
304,0.9089,-0.1831,-0.0266
305,1.1860,0.1494,0.1292
306,0.8423,-0.1353,-0.0032
307,1.0623,-0.0088,0.0288
308,1.1655,0.1462,0.1343
309,0.8230,-0.0549,-0.1692
310,1.0369,-0.0361,0.0696
311,1.1333,-0.0015,0.0215
312,0.9116,-0.0662,-0.0925
313,1.2114,0.1331,0.1802
314,1.0015,-0.1755,-0.0867
315,1.0496,0.0447,-0.1150
316,1.0146,-0.0281,0.1123
317,1.0522,0.0417,-0.0310
318,0.9812,0.0393,-0.0479
319,0.9822,-0.1907,0.1399
320,1.0571,0.0559,-0.0200
321,1.1169,0.0718,0.0635
322,0.9253,0.1379,0.0234
323,0.9116,-0.2314,-0.0071
324,1.0828,0.0930,0.0339
325,0.9548,0.0215,0.0093
326,1.0630,0.0239,0.0337
327,1.1294,0.0500,0.0295
328,0.8757,-0.0833,-0.1074
329,1.0671,0.0657,-0.0264
330,1.0603,0.0054,0.1057
331,1.0073,-0.0688,-0.0254
332,0.9624,0.0818,0.0146
333,1.1040,-0.0066,0.0759
334,0.9946,-0.0371,0.0071
335,1.0173,0.0652,0.0010
336,0.9919,-0.0205,0.0886
337,0.9653,-0.0095,-0.0020
338,1.0144,0.0635,-0.0242
339,0.9097,-0.1892,0.0159
340,1.1431,0.1169,-0.0723
341,1.0112,-0.0740,0.0938
342,1.0623,0.1162,-0.0261
343,0.9978,-0.1917,-0.0029
344,1.0583,0.0273,0.1326
345,0.9958,0.0149,-0.0503
346,1.0281,-0.0190,0.0542
347,1.0688,0.1484,0.0327
348,0.8428,-0.2251,-0.0225
349,1.1355,0.0149,0.1394
350,0.9966,0.1003,0.0232
351,0.9265,-0.0823,-0.1052
352,1.1873,0.0217,0.1270
353,0.8777,-0.0125,-0.0757
354,1.0171,-0.1226,0.0186
355,1.1218,0.1116,0.0276
356,0.9097,-0.0935,0.0405
357,0.9939,0.0049,-0.1423
358,1.1128,0.0020,0.0725
359,0.9822,-0.0334,-0.0093
360,0.9531,-0.0051,-0.0234
361,1.1235,-0.0532,0.1604
362,0.9448,0.0027,-0.0310
363,0.9585,-0.0146,-0.0305
364,1.0994,-0.0527,0.0071
365,0.9546,0.0459,-0.1760
366,0.9565,0.0283,0.0417
367,1.1030,-0.1162,0.0933
368,1.0251,-0.0198,-0.0396
369,1.0378,0.0100,-0.0261
370,1.0483,0.0334,-0.0063
371,1.0388,-0.0076,-0.0730
372,1.0378,-0.1755,0.1096
373,1.0662,0.2668,-0.0234
374,0.9822,-0.1843,0.0525
375,1.0210,0.1768,-0.0032
376,0.9116,-0.1177,-0.0208
377,0.9956,0.0459,0.0583
378,1.1335,0.0173,0.0396
379,0.8601,-0.0071,-0.0474
380,1.0942,-0.0786,0.0842
381,1.0112,0.1030,0.0266
382,0.9194,-0.0779,-0.0222
383,1.1255,-0.0056,-0.0203
384,1.0471,-0.0225,0.0330
385,1.0005,0.0657,0.0237
386,0.9675,-0.0737,0.0747
387,1.1265,0.0208,-0.0256
388,0.8691,-0.1260,-0.0706
389,1.1511,0.2134,0.0295
390,0.9155,-0.1511,0.0032
391,1.1316,0.0603,0.0291
392,0.9578,0.0283,0.1646
393,0.9734,-0.0386,-0.1289
394,1.1179,-0.0605,0.0864
395,1.0046,0.1150,-0.1414
396,0.9116,-0.1060,-0.0417
397,1.2351,0.0442,0.0625
398,0.9312,0.0347,0.0032
399,0.9568,-0.1721,-0.0168
400,1.1462,0.1389,0.0420
401,0.9438,-0.1128,-0.0098
402,0.9695,-0.0276,-0.0298
403,1.0815,0.0718,0.0420
404,0.9763,-0.0798,0.0061
405,1.0522,0.0356,0.0693
406,1.0261,0.0220,-0.0908
407,1.0049,-0.1733,0.1074
408,1.0923,0.2087,-0.0876
409,0.9438,-0.2517,-0.0557
410,1.1655,0.1550,0.0002
411,0.9353,-0.0759,-0.1045
412,1.1135,0.0337,0.0269
413,0.9614,0.0059,0.0283
414,0.9761,-0.1094,0.0378
415,1.0923,0.0447,-0.0110
416,0.9204,0.0217,0.0017
417,0.9363,-0.1292,-0.0259
418,1.1372,0.0735,-0.0413
419,0.8608,0.0510,-0.0107
420,0.9910,-0.0244,0.1104
421,1.0913,0.0205,0.0269
422,0.8894,-0.0481,-0.0701
423,1.1021,-0.0967,-0.0022
424,1.1626,0.1316,0.0044
425,0.9402,-0.0598,-0.0383
426,1.0190,0.0090,0.0061
427,1.0933,0.0166,0.0210
428,0.9314,-0.0325,0.0505
429,1.0818,-0.0273,0.0671
430,0.9399,-0.0027,0.0085
431,0.9751,-0.0127,-0.0120
432,1.0220,-0.0327,0.0872
433,1.0103,0.0549,-0.0156
434,0.9832,-0.0415,0.0530
435,1.0671,0.0066,0.0066
436,1.0681,-0.0454,0.0784
437,1.0239,0.1804,-0.1233
438,0.9802,-0.1194,0.1006
439,1.0671,0.1201,0.0149
440,0.9702,-0.1504,0.0022
441,1.0142,0.1917,0.0134
442,1.0591,-0.1704,0.0308
443,1.0242,0.1887,-0.0339
444,0.9041,-0.0291,0.0701
445,1.0220,-0.1138,0.1282
446,1.0906,0.1230,-0.0481
447,0.8962,-0.0420,0.0364
448,1.1360,-0.1038,0.1697
449,1.0652,0.1472,-0.1357
450,0.9255,-0.2163,0.0452
451,1.1890,0.1445,0.0576
452,0.9207,0.0161,-0.1099
453,0.9656,-0.2244,0.0720
454,1.1431,0.1697,0.0398
455,0.9458,-0.1274,0.0078
456,1.1658,-0.0613,0.0579
457,1.0698,0.1130,0.0256
458,0.8689,-0.1846,-0.0703
459,1.1392,0.0618,0.1575
460,0.9719,-0.0244,-0.0945
