Sample,X,Y,Z
264,1.1033,0.1606,0.0779
265,1.0190,-0.0581,-0.1570
266,0.9673,0.0618,0.0759
267,1.0007,-0.0947,-0.0874
268,1.0271,-0.0540,-0.0649
269,1.0493,0.1667,-0.0264
270,0.9011,-0.0603,0.0818
271,1.1062,0.0159,-0.0659
272,0.8684,0.0300,0.0847
273,0.9233,-0.1614,0.0210
274,1.2095,0.0576,-0.0813
275,1.0054,0.1575,0.0371
276,0.8677,-0.1929,-0.1418
277,1.1853,0.1536,-0.0457
278,0.9236,-0.1365,0.0435
279,0.9822,-0.0967,0.0034
280,1.2605,0.2051,-0.0386
281,0.8628,-0.1406,0.0886
282,1.0476,0.0208,0.0454
283,1.0203,-0.0054,0.0242
284,0.9722,-0.1384,0.0642
285,1.1138,0.0352,-0.0251
286,1.0437,0.2170,-0.0271
287,0.9031,-0.1243,0.0779
288,1.1050,-0.0459,-0.0222
289,1.0688,-0.0374,0.0889
290,1.0103,0.0569,0.0747
291,1.0903,-0.0874,-0.0298
292,1.0444,0.0334,0.0242
293,0.9729,-0.0232,0.0339
294,1.0525,0.0562,-0.0229
295,1.0664,0.0349,0.1245
296,0.8491,-0.2180,0.0391
297,1.0964,0.1562,0.0039
298,0.9807,-0.0476,-0.0303
299,1.0229,-0.0530,0.1565
300,1.0063,0.1492,-0.1687
301,0.8914,-0.1218,-0.0762
302,1.1479,-0.0979,0.0933
303,1.0681,0.1135,-0.1277
304,0.9661,-0.0012,-0.1155
305,1.1248,0.0125,-0.0176
306,0.9753,-0.0415,-0.0378
307,0.9460,-0.0388,-0.0322
308,1.1421,0.0154,0.1372
309,0.9810,-0.0864,-0.0608
310,0.9456,-0.0044,-0.1396
311,1.1206,0.0308,-0.0178
312,1.0024,0.0657,-0.0735
313,0.9312,-0.0408,-0.0564
314,1.0710,-0.0659,0.1423
315,1.0701,0.0193,-0.1428
316,0.9958,-0.0176,0.0911
317,1.1404,0.0513,0.1101
318,0.8882,-0.0955,-0.1624
319,1.0581,-0.0234,-0.0190
320,1.1472,0.0151,0.0242
321,1.0359,0.0752,-0.0388
322,0.9500,0.0144,-0.0032
323,0.9675,-0.1440,0.0308
324,1.0415,-0.0513,-0.0574
325,1.0552,0.0984,-0.0093
326,1.0583,0.0210,0.0549
327,0.9648,0.0090,-0.0432
328,0.9607,-0.1567,0.0830
329,1.0388,0.0908,-0.0354
330,1.0662,0.0059,-0.0605
331,1.0532,0.0193,0.0173
332,1.0024,-0.1128,0.0525
333,1.0474,0.0715,0.0527
334,1.0271,-0.0835,-0.0493
335,1.0327,0.1277,0.1514
336,0.9382,-0.1965,-0.0039
337,1.0610,0.0139,0.0432
338,1.0981,0.1501,-0.0244
339,0.8943,-0.1128,0.0356
340,1.0789,0.0068,-0.0986
341,0.8862,-0.0564,-0.0129
342,1.0054,-0.0730,-0.0322
343,1.2205,0.0918,0.0505
344,0.9978,0.0596,0.0435
345,0.9783,-0.2339,0.0300
346,1.1772,0.0977,0.0010
347,0.9265,-0.0674,-0.0349
348,1.0173,0.0271,0.0347
349,1.1140,0.0867,-0.0007
350,0.8972,-0.0901,0.0896
351,1.0515,-0.0581,-0.0444
352,1.1323,0.1287,0.0315
353,0.8806,-0.0928,0.0522
354,0.9883,-0.0056,0.0151
355,1.0925,-0.0369,-0.0256
356,1.0593,-0.0171,0.1228
357,1.0095,0.0911,-0.0361
358,1.0339,-0.0420,0.0210
359,1.0298,-0.0867,0.0217
360,1.0386,-0.0063,0.0168
361,1.1470,0.1833,0.1450
362,0.8599,-0.2195,-0.0259
363,1.0271,0.0215,-0.0361
364,0.9939,-0.0444,0.0415
365,1.0171,0.1082,-0.1274
366,0.9810,-0.1174,0.0125
