Sample,X,Y,Z
681,0.8452,-0.0303,-0.0679
682,1.2905,0.0396,0.1245
683,1.0229,0.0930,0.0366
684,0.8726,-0.1736,-0.1030
685,1.3142,0.0767,0.1414
686,0.9067,-0.0103,0.0232
687,0.9607,-0.0247,-0.0601
688,1.1492,-0.0471,0.1873
689,0.9565,0.1074,-0.1047
690,0.8960,-0.2263,0.0256
691,1.2937,0.1663,0.1929
692,0.8228,-0.0349,-0.1179
693,0.9526,-0.0898,0.0085
694,1.2195,0.0500,0.0896
695,0.9136,-0.0073,-0.1091
696,1.0369,-0.0806,0.1516
697,1.1101,0.1572,-0.0105
698,0.8052,-0.2754,-0.0876
699,1.1587,0.1353,0.0613
700,1.1372,0.0386,-0.0627
701,0.8796,-0.0115,-0.0017
702,1.0417,-0.0186,0.1267
703,0.8735,-0.0798,-0.1223
704,1.0642,-0.0625,0.0544
705,1.0825,0.1697,-0.0063
706,0.9575,-0.0925,-0.1028
707,1.0994,0.1123,0.0623
708,0.9373,-0.1724,-0.0725
709,1.0115,0.0400,-0.0088
710,1.1448,0.0176,0.1277
711,0.9500,-0.0740,-0.0693
712,1.1274,0.0518,-0.0166
713,1.0132,0.0144,0.0762
714,0.9175,-0.1421,-0.1257
715,1.0525,-0.0159,-0.0601
716,1.0776,0.0452,0.0212
717,0.9207,0.0244,-0.1157
718,1.0269,-0.0085,0.0090
719,0.9282,-0.0500,0.1172
720,0.9592,-0.0647,-0.2207
721,1.0806,0.0161,-0.0232
722,1.1929,-0.0427,0.0354
723,0.9060,0.0601,-0.1091
724,1.0200,-0.0315,-0.0298
725,0.9861,0.0015,-0.0964
726,0.9636,-0.0222,-0.0427
727,1.1128,0.0818,-0.0566
728,1.0388,-0.1633,0.2292
729,0.9341,0.1033,-0.0979
730,0.9490,-0.1897,-0.0894
731,1.1199,0.2271,0.0403
732,0.9214,-0.0723,-0.0085
733,0.9841,0.0676,-0.0615
734,1.0574,-0.0215,-0.0291
735,0.9224,-0.1323,0.0750
736,1.1755,0.1663,-0.0020
737,0.9958,0.0103,0.0400
738,0.9790,-0.2217,0.1040
739,1.1226,0.1731,-0.0676
740,0.8474,-0.1841,-0.1353
741,1.2400,0.0520,0.1455
742,0.9636,0.1504,-0.0583
743,0.8179,-0.0581,-0.0898
744,1.1296,-0.0950,0.0168
745,0.9978,0.0522,0.0833
746,0.9551,-0.1482,-0.0583
747,1.2603,0.1433,0.1252
748,0.8982,-0.0159,-0.1316
749,0.8708,-0.1711,0.0122
750,1.2886,0.1460,0.0503
751,0.8855,-0.0686,-0.1362
752,1.0786,-0.0645,0.1040
753,1.1245,0.1204,-0.0493
754,0.8542,-0.1506,-0.0117
755,1.0349,0.0686,-0.0027
756,1.1548,-0.0583,0.1477
757,0.8735,0.0452,-0.1477
758,0.9871,-0.0439,0.0208
759,1.0776,-0.0220,-0.0527
760,0.9031,0.0591,-0.0378
761,1.0750,-0.0918,-0.0703
762,1.1519,0.0732,-0.0059
763,0.9546,-0.0073,-0.0378
764,0.9265,-0.1118,-0.0410
765,1.1997,0.0613,0.0386
766,0.9224,0.0015,-0.0417
767,1.0300,-0.1604,-0.0332
768,1.0935,0.2852,-0.0337
769,0.8228,-0.3005,-0.1028
770,1.0847,0.2144,0.0229
771,1.0356,-0.0828,0.0842
772,0.8667,-0.0320,-0.0205
